"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"2",3199.92856,3132.42176,3200.69012,3162.26056,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2691.75336,3256.76376,3109.53212,2779.37456,3332.67456,2434.57904,3002.27352,3240.43896,3154.96096,2777.91336,2817.59428,2609.66696,2452.45416,3332.67456,3282.01136,2789.9852,3986.06416,2728.15216,3114.28988,3244.87636,3986.06416,2734.91268,3264.08976,2892.95328,2660.43656,3063.33132,2441.75968,2451.56724,2951.7761,2822.60016,3102.21016,2755.08396,2518.13164,2598.57176,2435.35924,2711.11776,2397.8126,2884.16136,3086.56032,3246.28536,2593.71576,3342.37056,3060.13632,2922.01536,2471.408,3020.46408,3183.35616,2851.54416,4043.63472,2563.02782,2936.4686,2846.37336,2838.1142,3063.33132,2404.39474,2435.35924,2527.88736,3295.08476,3261.33976,2807.06736,2807.06736,3271.76536,3298.40116,2598.57176,2822.60016,3046.51136,2699.55936,2204.04096,2911.20936,2771.72616,3092.49632,3107.30112,3166.31136,3382.50936,3234.92716,2523.08604,2803.97716,2607.85508,2939.785,2770.51656,3342.37056,3103.08616,3181.87536,2842.3492,3060.84064
"3",3391.75536,2783.77176,3326.86774,2994.56336,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,3039.34936,3194.60616,2884.16136,2894.41264,3190.19792,3079.35336,2691.75336,2563.92736,3109.53212,2841.62456,3332.67456,2689.67656,3012.66904,3342.37056,3154.96096,2984.32416,2817.59428,2609.66696,2761.27056,3332.67456,3282.01136,2789.9852,3986.06416,2728.15216,3986.06416,3332.67456,3737.44388,2768.26908,3382.50936,2917.08528,3369.56496,3209.74872,2607.85508,3101.95656,2951.7761,2871.34128,3102.21016,2769.70136,3165.95896,2598.57176,2435.35924,2711.11776,2397.8126,2937.31848,3086.56032,2887.14888,2816.99676,3342.37056,3060.13632,2970.75648,2482.82266,3041.52808,3164.75136,3175.20496,4043.63472,3116.89664,3986.06416,2911.20936,2838.1142,3063.33132,2529.22684,2435.35924,2527.88736,3295.08476,3261.33976,2861.98128,2827.20444,3271.76536,3391.75536,2598.57176,2911.20936,3986.06416,3169.25216,2778.38316,2911.20936,3085.73696,3092.49632,3220.55472,3166.31136,3382.50936,3211.31496,3076.01696,2803.97716,2937.31848,2939.785,2770.51656,3342.37056,2821.99176,2813.06616,4043.63472,3322.83784
"4",3391.75536,3075.29856,3326.86774,3363.41616,2816.22416,2501.83496,3391.75536,3144.14576,2834.0292,3039.34936,3194.60616,2884.16136,3354.82844,2566.17026,3057.61356,2743.98816,2604.60976,3220.55472,2993.77656,3224.37624,2689.67656,3050.93494,3342.37056,2738.63056,3033.87828,2817.59428,2609.66696,2761.27056,3332.67456,3354.99112,4043.63472,3737.44388,2728.15216,3986.06416,3332.67456,3737.44388,2768.26908,3382.50936,2917.08528,3369.56496,2959.95048,2607.85508,2813.06616,3064.32704,2959.95048,3130.39096,2769.70136,3165.95896,2598.57176,2435.35924,2711.11776,4043.63472,2959.95048,3086.56032,2806.84376,2870.84128,3342.37056,3220.55472,2970.75648,2539.22326,2923.27328,3164.75136,3175.20496,3743.48488,3116.89664,3986.06416,2911.20936,2838.1142,3220.55472,2937.31848,2435.35924,2778.38316,3391.75536,3261.33976,2937.31848,3039.45404,3271.76536,2985.15648,2598.57176,2959.95048,3737.44388,3192.64256,2870.84128,2959.95048,3238.54216,3236.18672,3220.55472,3224.39016,3382.50936,3342.37056,3086.22696,2836.08636,2959.95048,2939.785,2770.51656,3342.37056,2821.99176,2977.81816,4043.63472,3322.83784
"5",3391.75536,3267.86336,3326.86774,3419.19136,2816.22416,2501.83496,3391.75536,3282.01136,2834.0292,3986.06416,3342.37056,2884.16136,3354.82844,2875.49948,4043.63472,2743.98816,2604.60976,3220.55472,3160.54976,3224.37624,2689.67656,3234.89014,3342.37056,2738.63056,3033.87828,2817.59428,2784.41176,2984.32416,3332.67456,3244.47114,4043.63472,3737.44388,2728.15216,3737.44388,3332.67456,3737.44388,2785.55376,2866.67496,3057.37056,3391.75536,2970.75648,2937.31848,3010.76856,3229.33424,2959.95048,3282.01136,2795.80816,2817.28456,2598.57176,2435.35924,2711.11776,4043.63472,2959.95048,3209.74872,2806.84376,2870.84128,3342.37056,3229.33424,2970.75648,2635.42812,2895.06856,3342.37056,3175.20496,3743.48488,3116.89664,3737.44388,2911.20936,3108.25484,3220.55472,2959.95048,2479.96656,2870.84128,3391.75536,3264.08976,2937.31848,3218.60824,3282.01136,2985.15648,2598.57176,2959.95048,3737.44388,3192.64256,2870.84128,2970.75648,3238.54216,3125.66674,3220.55472,3224.39016,2975.91048,3342.37056,2939.85256,2836.08636,2959.95048,2939.785,2770.51656,3342.37056,3343.53376,3075.29856,3743.48488,3371.56036
"6",3391.75536,3075.29856,3326.86774,3419.19136,2886.91056,2501.83496,3391.75536,3354.99112,2834.0292,3737.44388,3342.37056,2884.16136,2924.41076,2875.49948,3743.48488,2792.10336,2604.60976,2970.75648,3014.72656,3042.03728,2740.71416,3234.89014,3342.37056,2950.17816,3033.87828,2937.52548,2813.73176,3033.87828,3332.67456,3244.47114,3743.48488,3295.75566,2738.04816,3737.44388,3332.67456,3743.48488,2937.31848,2866.67496,3057.37056,3391.75536,2970.75648,2959.95048,3010.76856,3229.33424,2959.95048,3282.01136,2795.80816,2817.28456,2806.84376,2435.35924,2711.11776,3743.48488,2959.95048,2959.95048,3081.69678,2870.84128,3342.37056,3229.33424,2970.75648,3027.64776,2899.70576,3342.37056,2817.28456,3743.48488,3229.33424,3737.44388,2911.20936,3108.25484,3220.55472,2959.95048,2538.21796,2870.84128,3391.75536,3382.50936,2959.95048,3218.60824,3282.01136,2985.15648,2598.57176,2970.75648,3737.44388,2726.46656,2870.84128,2970.75648,2716.04296,3134.4954,3220.55472,3332.67456,2985.15648,3342.37056,3059.40616,2836.08636,2959.95048,2833.22058,2770.51656,3342.37056,3343.53376,3197.02016,3743.48488,3371.56036
"7",3391.75536,3065.95416,3326.86774,3419.19136,2897.90736,2501.83496,3391.75536,3244.47114,2834.0292,3737.44388,3342.37056,2884.16136,2924.41076,3356.56884,3396.40912,2792.10336,2604.60976,2970.75648,3014.72656,3042.03728,2747.58176,3234.89014,3342.37056,2950.17816,3033.87828,2937.52548,2813.73176,3047.85288,2957.31048,3244.47114,3743.48488,3295.75566,2738.04816,3737.44388,3332.67456,3743.48488,2959.95048,2866.67496,3057.37056,3391.75536,2970.75648,2970.75648,3232.00696,3244.47114,2959.95048,3282.01136,2897.90736,2982.03656,3076.58208,2435.35924,2806.90906,3743.48488,2959.95048,2959.95048,3134.4954,3134.4954,3342.37056,2992.69768,2970.75648,3160.54976,3089.83096,3342.37056,3343.53376,3743.48488,3244.47114,3737.44388,2959.95048,3135.24774,3220.55472,2959.95048,2538.21796,2870.84128,3391.75536,3382.50936,2959.95048,3218.60824,3282.01136,2985.15648,2821.99176,2970.75648,2996.72146,2744.00936,3356.56884,2970.75648,2716.04296,3134.4954,2970.75648,2957.31048,2985.15648,3342.37056,3371.56036,2999.90916,2959.95048,2871.34128,2781.61176,3342.37056,2858.68504,3197.02016,3743.48488,3371.56036
"8",3391.75536,3065.95416,3326.86774,3419.19136,3743.48488,2892.92736,3391.75536,3244.47114,2825.69336,3737.44388,3342.37056,2884.16136,2924.41076,3350.63588,3396.40912,2792.10336,2604.60976,2970.75648,3048.31376,3134.4954,2747.58176,3234.89014,3342.37056,2971.53816,3033.87828,2937.52548,2813.73176,3047.85288,3020.46408,3244.47114,3743.48488,3295.75566,2820.98736,3743.48488,2957.31048,3743.48488,2970.75648,2984.32416,3057.37056,3391.75536,2970.75648,2970.75648,3197.02016,3244.47114,2959.95048,3282.01136,2897.90736,3015.78376,2907.66536,2435.35924,3033.87828,3743.48488,2970.75648,2959.95048,3033.87828,3033.87828,2967.00648,2992.69768,2970.75648,3173.44136,3089.83096,2967.00648,2672.26576,3743.48488,3244.47114,3743.48488,2959.95048,3135.24774,3220.55472,2959.95048,2626.2994,2870.84128,3391.75536,3232.81624,2970.75648,2981.97168,3282.01136,2985.15648,2982.03656,2970.75648,2996.72146,3814.16458,3356.56884,2970.75648,2849.97716,3134.4954,2970.75648,2957.31048,2985.15648,3342.37056,3371.56036,2999.90916,2970.75648,2970.75648,2781.61176,3342.37056,2858.68504,3023.38976,3743.48488,3371.56036
"9",3391.75536,3065.95416,3326.86774,3419.19136,3301.79666,2898.59056,3391.75536,3244.47114,2897.90736,3737.44388,3342.37056,2884.16136,3362.61344,3350.63588,3396.40912,2795.82176,2604.60976,2970.75648,3076.42416,3134.4954,2747.58176,3234.89014,3342.37056,3160.54976,3065.84176,2959.95048,2853.70936,3285.42108,3020.46408,3134.4954,3743.48488,3295.75566,2991.66256,3743.48488,2967.00648,3743.48488,2970.75648,2984.32416,3059.62856,3391.75536,2970.75648,2970.75648,3040.53856,3244.47114,2970.75648,3282.01136,2897.90736,3048.31376,3149.30088,2435.35924,3033.87828,3743.48488,2970.75648,2970.75648,3355.61074,3033.87828,2967.00648,2992.69768,2970.75648,3047.59296,3131.08528,3020.46408,2672.26576,3743.48488,3244.47114,3743.48488,2959.95048,3234.89014,3220.55472,2959.95048,2796.90016,2870.84128,3391.75536,3232.81624,2970.75648,2981.97168,3354.99112,2985.15648,3013.67456,2970.75648,2996.72146,3814.16458,3356.56884,2970.75648,2849.97716,3134.4954,2970.75648,2957.31048,2985.15648,3342.37056,3371.56036,3023.98416,2970.75648,2970.75648,2781.61176,3342.37056,3012.72664,3023.38976,3743.48488,3384.00464
"10",3391.75536,3065.95416,3326.86774,3453.76486,3301.79666,2855.05606,3391.75536,3134.4954,2897.90736,3737.44388,3342.37056,2911.20936,3362.61344,3350.63588,3396.40912,2795.82176,2604.60976,2970.75648,3204.42776,3134.4954,2747.58176,3234.89014,3342.37056,3173.44136,3065.84176,2970.75648,2853.70936,3208.43324,3020.46408,3350.63588,3743.48488,3116.40468,2991.66256,3743.48488,3020.46408,3743.48488,2970.75648,2984.32416,3128.28656,3391.75536,2970.75648,2970.75648,3040.53856,3244.47114,2970.75648,3282.01136,2897.90736,3112.62176,3048.27336,2435.35924,3033.87828,3396.40912,2970.75648,2970.75648,3065.84176,3350.63588,2967.00648,3134.4954,2970.75648,3047.59296,3131.08528,3020.46408,2860.28216,3743.48488,3244.47114,3743.48488,2970.75648,3234.89014,3220.55472,2970.75648,2796.90016,3356.56884,3357.87212,3232.81624,2970.75648,2992.69768,2999.30018,2985.15648,3031.40496,2970.75648,3002.76246,3814.16458,3356.56884,2970.75648,2849.97716,3134.4954,2970.75648,2989.71918,2985.15648,3342.37056,3065.84176,3023.98416,2970.75648,2970.75648,2781.61176,3342.37056,3056.48576,3023.38976,3743.48488,2962.69856
"11",3391.75536,3065.95416,3356.56884,3453.76486,3301.79666,3060.45006,3391.75536,3134.4954,2897.90736,3737.44388,3342.37056,2959.95048,3362.61344,3350.63588,3396.40912,2890.64096,2604.60976,2970.75648,3204.42776,3134.4954,2747.58176,3134.4954,3342.37056,3023.38976,3065.84176,2970.75648,2853.70936,3076.07968,3020.46408,3247.36686,3743.48488,3116.40468,2991.66256,3743.48488,3020.46408,3743.48488,2970.75648,3033.87828,3173.38456,3391.75536,2970.75648,2970.75648,3078.32416,3244.47114,2970.75648,3282.01136,2897.90736,3098.28576,3300.84216,2509.48896,3033.87828,3396.40912,2970.75648,2970.75648,3065.84176,3049.38208,2967.00648,3134.4954,2970.75648,3176.63136,3131.08528,2999.30018,2860.28216,3743.48488,3244.47114,3743.48488,2970.75648,3234.89014,3220.55472,2970.75648,2796.90016,3356.56884,3357.87212,3232.81624,2970.75648,3134.4954,3134.4954,2985.15648,3034.28496,2970.75648,3002.76246,3814.16458,3350.63588,2970.75648,2913.80216,3134.4954,2970.75648,3134.4954,2985.15648,3342.37056,3065.84176,3023.98416,2970.75648,2970.75648,3014.72656,3342.37056,3107.04296,3023.38976,3743.48488,3104.72336
"12",3391.75536,3178.18976,3362.61344,3453.76486,3301.79666,3060.45006,3391.75536,3134.4954,2897.90736,3743.48488,3342.37056,2970.75648,3362.61344,3350.63588,3396.40912,2890.64096,2604.60976,2970.75648,3267.08576,3134.4954,2747.58176,3134.4954,3342.37056,3023.38976,3065.95416,2970.75648,2853.70936,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,2991.66256,3743.48488,2959.20216,3743.48488,2992.69768,3033.87828,3148.34376,3391.75536,2970.75648,2970.75648,3112.62176,3244.47114,2970.75648,3282.01136,2897.90736,3238.44816,3300.84216,2509.48896,3033.87828,3396.40912,2970.75648,2970.75648,3065.84176,3049.38208,3020.46408,3134.4954,2970.75648,3176.63136,3283.59856,2999.30018,3472.99536,3743.48488,3244.47114,3743.48488,2970.75648,3134.4954,3220.55472,2970.75648,2895.06856,3356.56884,3357.87212,3084.94128,2970.75648,3134.4954,3134.4954,2985.15648,3034.28496,2970.75648,3002.76246,3814.16458,3382.59936,2970.75648,2913.80216,3134.4954,2970.75648,3134.4954,2985.15648,3342.37056,3065.84176,3023.98416,2970.75648,2970.75648,3027.58816,2967.00648,3238.44816,3061.17536,3743.48488,3104.72336
"13",3391.75536,3178.18976,3362.61344,3453.76486,3301.79666,3060.45006,2985.15648,3134.4954,2897.90736,3743.48488,3342.37056,2970.75648,3362.61344,3382.59936,3111.39788,3004.30656,2645.28986,2970.75648,3267.08576,3134.4954,2891.77526,3134.4954,3342.37056,3023.38976,3065.95416,2970.75648,2853.70936,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,2991.66256,3743.48488,3004.30656,3743.48488,3134.4954,3063.21808,3284.11966,3391.75536,2970.75648,2970.75648,3112.62176,3244.47114,2970.75648,2975.34848,2897.90736,3238.44816,3204.00776,2509.48896,3033.87828,3396.40912,2970.75648,2970.75648,3065.84176,3049.38208,2999.30018,3134.4954,2970.75648,3176.63136,3197.02016,2999.30018,3472.99536,3743.48488,3164.30788,3743.48488,2970.75648,3134.4954,3220.55472,2970.75648,3115.35008,3356.56884,3357.87212,3084.94128,2970.75648,3134.4954,3134.4954,2985.15648,3086.46576,2970.75648,3002.76246,3814.16458,3382.59936,2970.75648,3552.84056,3134.4954,2970.75648,3134.4954,2985.15648,3342.37056,3079.81636,3094.49616,2970.75648,2970.75648,3061.17536,3020.46408,3238.44816,3061.17536,3743.48488,3178.18976
"14",3391.75536,3178.18976,3362.61344,3453.76486,3301.79666,3060.45006,2985.15648,3134.4954,2897.90736,3743.48488,2967.00648,2970.75648,3362.61344,3382.59936,3111.39788,2967.72096,2645.28986,2970.75648,3267.08576,3134.4954,2923.18846,3134.4954,2967.00648,3061.17536,3065.95416,2970.75648,2853.70936,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,2996.23856,3743.48488,3006.95976,3743.48488,3033.87828,3379.72746,3284.11966,3391.75536,2970.75648,2970.75648,3112.62176,3134.4954,3035.11698,2975.34848,2897.90736,3238.44816,3204.00776,2509.48896,3063.21808,3396.40912,2970.75648,2970.75648,3031.40496,3370.00366,2999.30018,3134.4954,2970.75648,3190.72136,3197.02016,2999.30018,3472.99536,3743.48488,3164.30788,3743.48488,2970.75648,3134.4954,2970.75648,2970.75648,3115.35008,3033.87828,3357.87212,3084.94128,2970.75648,3033.87828,3134.4954,3035.11698,3086.46576,2970.75648,3002.76246,3467.08882,3382.59936,2970.75648,3575.50976,3134.4954,2970.75648,3134.4954,2985.15648,3743.48488,3079.81636,3158.80416,2970.75648,2970.75648,3112.62176,3020.46408,3238.44816,3061.17536,3743.48488,3178.18976
"15",3391.75536,3178.18976,3362.61344,3023.98416,3014.72916,3066.49106,2985.15648,3134.4954,2897.90736,3743.48488,3020.46408,2970.75648,3382.59936,3382.59936,3111.39788,2967.72096,2645.28986,2970.75648,3267.08576,3134.4954,2923.18846,3134.4954,3020.46408,3061.17536,3065.95416,2970.75648,3009.33416,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,2996.23856,3743.48488,3048.31376,3743.48488,3033.87828,3379.72746,3411.45458,3391.75536,2970.75648,2970.75648,3112.62176,3134.4954,3035.11698,2975.34848,2897.90736,3238.44816,3408.41776,2642.81826,3076.07968,3396.40912,2970.75648,2970.75648,3031.40496,3087.90096,3134.4954,3134.4954,2970.75648,3190.72136,3197.02016,2999.30018,3472.99536,3743.48488,3205.18724,3743.48488,2970.75648,3134.4954,2970.75648,2970.75648,3115.35008,3033.87828,3357.87212,3084.94128,2970.75648,3047.85288,3134.4954,3035.11698,3129.05376,2970.75648,3075.19116,3356.56884,2934.90716,2970.75648,3575.50976,3134.4954,2970.75648,3134.4954,2985.15648,3301.79666,3079.81636,3158.80416,2970.75648,2970.75648,2952.22976,3020.46408,3238.44816,3061.17536,3743.48488,3178.18976
"16",2985.15648,3178.18976,3065.84176,3023.98416,3014.72916,3066.49106,2985.15648,3134.4954,3386.26816,3743.48488,3020.46408,2970.75648,3382.59936,3382.59936,3111.39788,2967.72096,2645.28986,2970.75648,3267.08576,3134.4954,2923.18846,3134.4954,3020.46408,2882.86216,3065.95416,2970.75648,3047.26416,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,3001.39696,3743.48488,2978.78096,3743.48488,3164.30788,3379.72746,3411.45458,3391.75536,2970.75648,2970.75648,3112.62176,3134.4954,3035.11698,2975.34848,3743.48488,3238.44816,3408.41776,2642.81826,3379.72746,3396.40912,2970.75648,2970.75648,3031.40496,3190.85976,3134.4954,3134.4954,2992.69768,3190.72136,3391.86416,3134.4954,3472.99536,3743.48488,3173.90368,3743.48488,2970.75648,3134.4954,2970.75648,2992.69768,3115.35008,3357.52694,3326.86774,3084.94128,2970.75648,3047.85288,3134.4954,3035.11698,3129.05376,2970.75648,3075.19116,3356.56884,3551.38556,2970.75648,3575.50976,3134.4954,2970.75648,3134.4954,2985.15648,3301.79666,3079.81636,3158.80416,2970.75648,2970.75648,2952.22976,3042.03728,3238.44816,3061.17536,3743.48488,3178.18976
"17",2985.15648,3190.72136,3065.84176,3023.98416,3023.98416,3066.49106,2985.15648,3134.4954,3386.26816,3743.48488,3020.46408,2970.75648,3081.25616,3382.59936,3111.39788,2967.72096,2682.74406,2970.75648,3267.08576,3134.4954,2929.22946,3134.4954,3020.46408,2982.56656,3065.95416,2970.75648,3060.12576,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,3112.89536,3743.48488,3104.72336,3743.48488,3208.43324,3379.72746,3411.45458,3391.75536,2970.75648,2970.75648,3228.07776,3134.4954,3035.11698,2975.34848,3743.48488,3238.44816,3408.41776,2875.49948,3093.64076,3396.40912,2970.75648,2970.75648,3084.00576,3190.85976,3134.4954,3134.4954,3134.4954,3190.72136,3391.86416,3134.4954,3472.99536,3743.48488,3173.90368,3743.48488,2970.75648,3134.4954,2970.75648,2992.69768,2719.85456,3081.10916,3326.86774,3084.94128,2970.75648,3357.52694,3134.4954,3035.11698,3129.05376,2970.75648,3075.19116,3356.56884,3551.38556,2970.75648,3575.50976,3134.4954,2970.75648,3134.4954,2985.15648,3116.40468,3200.92956,3158.80416,2970.75648,2970.75648,2952.22976,3134.4954,3238.44816,3061.17536,3743.48488,3178.18976
"18",2985.15648,3190.72136,3065.84176,3023.98416,3023.98416,3066.49106,2985.15648,3134.4954,3263.58816,3743.48488,3020.46408,2970.75648,3081.25616,3382.59936,3111.39788,2967.72096,2682.74406,2970.75648,3267.08576,3350.63588,2929.22946,3134.4954,3035.11698,2982.56656,3065.95416,2970.75648,3061.17536,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,3099.40656,3743.48488,3104.72336,3743.48488,3208.43324,3379.72746,3411.45458,3391.75536,2970.75648,2970.75648,3228.07776,3134.4954,3035.11698,2975.34848,3743.48488,3238.44816,3408.41776,2898.17728,3117.25496,3396.40912,2970.75648,2970.75648,3084.00576,3190.85976,3134.4954,3134.4954,3134.4954,3190.72136,3391.86416,3134.4954,3472.99536,3743.48488,3173.90368,3743.48488,2970.75648,3134.4954,2970.75648,2992.69768,2815.56896,3104.72336,3326.86774,3084.94128,2970.75648,3379.72746,3134.4954,3035.11698,3149.56376,2970.75648,3075.19116,3362.61344,3571.71056,2970.75648,3579.20096,3033.87828,2970.75648,3134.4954,2985.15648,3116.40468,3034.28496,3191.32416,2970.75648,2970.75648,3167.38136,3134.4954,3238.44816,3061.17536,3743.48488,3178.18976
"19",2985.15648,3216.95936,3065.84176,3094.49616,3023.98416,3066.49106,2985.15648,3134.4954,3013.67456,3743.48488,3020.46408,2970.75648,3094.49616,2918.14936,3111.39788,2967.72096,2757.65246,2970.75648,3267.08576,3247.36686,3005.63316,3134.4954,3035.11698,2982.56656,3065.95416,2970.75648,3112.62176,3379.72746,3020.46408,3247.36686,3743.48488,3125.01168,3099.40656,3743.48488,3178.18976,3743.48488,3076.07968,2978.78096,3411.45458,3391.75536,2970.75648,2970.75648,3228.07776,3134.4954,3035.11698,2975.34848,3743.48488,3238.44816,3408.41776,2898.17728,3117.25496,3396.40912,2970.75648,2970.75648,3084.00576,3190.85976,3134.4954,3168.96608,3134.4954,3240.84776,3391.86416,3134.4954,3472.99536,3284.14874,3173.90368,3743.48488,2970.75648,3134.4954,2970.75648,3134.4954,2815.56896,3104.72336,3326.86774,3084.94128,2970.75648,2991.31256,3134.4954,3035.11698,3149.56376,2970.75648,3077.99216,3384.12856,3571.71056,3035.11698,3579.20096,3063.21808,2970.75648,3134.4954,2985.15648,3057.37056,3034.28496,3191.32416,2970.75648,2970.75648,3167.38136,3134.4954,3238.44816,3061.17536,3743.48488,3178.18976
